context,question,answer_text,answer_start,all_answers
the center of a cambered road,hypernym,road,25,['road']
a move made to gain a tactical end,hypernym,move,2,['move']
a blanket containing and electric heating element that can be controlled to the desired temperature by a rheostat,hypernym,blanket,2,['blanket']
a mild bipolar disorder that persists over a long time,hypernym,bipolar disorder,7,"['bipolar disorder', 'disorder']"
a kind of percoid fish,hypernym,percoid,10,"['percoid', 'percoid fish', 'fish']"
stapelia of Cape Province having mostly dark red-brown flowers with flat starlike corollas,hypernym,stapelia,0,['stapelia']
Italian nuclear physicist (in the United States after 1939) who worked on artificial radioactivity caused by neutron bombardment and who headed the group that in 1942 produced the first controlled nuclear reaction (1901-1954),hypernym,nuclear physicist,8,"['nuclear physicist', 'physicist']"
a university in California,hypernym,university,2,"['university', 'California']"
a cyst on the underside of the tongue,hypernym,cyst,2,['cyst']
a unit of radioactivity equal to one thousandth of a curie,hypernym,curie,53,"['curie', 'unit']"
the Roman peace; the long period of peace enforced on states in the Roman Empire,hypernym,peace,10,"['peace', 'states']"
a fierce or audacious person,hypernym,person,22,['person']
a suggestion that is made to a person who is hypnotized that specifies an action he will perform (usually in response to a cue) after he has awakened,hypernym,suggestion,2,['suggestion']
allemande sauce with chopped parsley,hypernym,sauce,10,['sauce']
a record book as a physical object,hypernym,book,9,"['book', 'physical object', 'object']"
representation consisting of a copy (as of an engraving) made by laying paper over something and rubbing it with charcoal,hypernym,representation,0,['representation']
large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins,hypernym,rays,13,['rays']
a bathhouse for hot air baths or steam baths,hypernym,bathhouse,2,['bathhouse']
a disputant who quibbles; someone who raises annoying petty objections,hypernym,someone,26,['someone']
a birth defect involving the heart,hypernym,birth defect,2,"['birth defect', 'defect']"
a person who (or that which) differentiates,hypernym,person,2,['person']
Inca fortress city in the Andes in Peru discovered in 1911; it may have been built in the 15th century,hypernym,Peru,35,"['Peru', 'fortress']"
a desert region in south central Australia to the north of the Nullarbor Plain,hypernym,Australia,33,"['Australia', 'desert', 'region']"
inflammation of the spinal cord,hypernym,inflammation,0,['inflammation']
a journalist who writes editorials,hypernym,journalist,2,['journalist']
the dominant and official language of Ethiopia; a Semitic language much influenced by the Cushitic language with which Amhara have been in close contact,hypernym,Semitic,50,"['Semitic', 'language']"
a detailed and documented treatise on a particular subject,hypernym,treatise,26,['treatise']
German iris having large white flowers with lavender-tinged falls and a fragrant rhizome,hypernym,iris,7,['iris']
the upward slope of a hill,hypernym,slope,11,['slope']
an L-shaped metal bracket,hypernym,bracket,18,['bracket']
tall fan palm of Africa and India and Malaysia yielding a hard wood and sweet sap that is a source of palm wine and sugar; leaves used for thatching and weaving,hypernym,fan palm,5,"['fan palm', 'palm']"
a light mattress,hypernym,mattress,8,['mattress']
a hunt for game carried on by following it stealthily or waiting in ambush,hypernym,hunt,2,['hunt']
a variety of albatross with black feet,hypernym,albatross,13,['albatross']
someone who pampers or spoils by excessive indulgence,hypernym,someone,0,['someone']
a hot vapor containing fine particles of carbon being produced by combustion,hypernym,vapor,6,['vapor']
the capital of Moldova,hypernym,Moldova,15,"['Moldova', 'capital']"
(game theory) a stable state of a system that involves several interacting participants in which no participant can gain by a change of strategy as long as all the other participants remain unchanged,hypernym,state,23,['state']
plastic surgery involving the breakdown and removal of fatty tissue,hypernym,plastic surgery,0,"['plastic surgery', 'surgery']"
"wiry tufted perennial of the eastern United States with stiff erect rough stems, linear leaves and large violet flowers",hypernym,flowers,112,['flowers']
the part of a continent that is stable and forms the central mass of the continent; typically Precambrian,hypernym,part,4,"['part', 'continent']"
king of Italy who appointed Mussolini prime minister; he abdicated in 1946 and the monarchy was abolished (1869-1947),hypernym,king,0,['king']
Celtic deity who was the lord of Annwfn (the other world or the land of fairies),hypernym,Celtic deity,0,"['Celtic deity', 'deity']"
the limits within which something can be effective,hypernym,limits,4,['limits']
real property held inalienably (as by an ecclesiastical corporation),hypernym,real property,0,"['real property', 'property']"
the state of being liable to impeachment,hypernym,state,4,['state']
the act of plundering (especially the embezzlement of goods on shipboard),hypernym,embezzlement,38,"['embezzlement', 'act']"
an operation used in the calculus whereby the integral of a function is determined,hypernym,operation,3,['operation']
bone marrow that is yellow with fat; found at the ends of long bones in adults,hypernym,bone marrow,0,"['bone marrow', 'marrow', 'bone', 'bones']"
the position of mayor,hypernym,position,4,['position']
epilepsy characterized by clonus of muscle groups and progressive mental deterioration and genetic origin,hypernym,epilepsy,0,['epilepsy']
a tract of land where logs are accumulated,hypernym,tract,2,['tract']
a musical note having the time value of an eighth of a whole note,hypernym,musical note,2,"['musical note', 'note']"
a pulley-block at the head of a topmast,hypernym,pulley-block,2,['pulley-block']
a meter that shows mileage traversed,hypernym,meter,2,['meter']
a seducer who ruins a woman,hypernym,seducer,2,['seducer']
small genus comprising terrestrial ferns; found in Chile and Spain and Morocco and Australia and New Zealand,hypernym,genus,6,['genus']
the act of coming (or going) out; becoming apparent,hypernym,act,4,['act']
any of several veins on each side that drain the thyroid gland and empty into the innominate vein,hypernym,veins,15,"['veins', 'vein']"
French writer who collaborated with his brother Jules de Goncourt on many books and who in his will established the Prix Goncourt (1822-1896),hypernym,writer,7,['writer']
the display of a motion picture,hypernym,display,4,['display']
any of several aromatic herbs or subshrubs of the genus Satureja having spikes of flowers attractive to bees,hypernym,herbs,24,['herbs']
directions prescribed beforehand; the action of prescribing authoritative rules or directions,hypernym,directions,0,['directions']
a harp used by ancient Greeks for accompaniment,hypernym,harp,2,['harp']
a battle in 1645 that settled the outcome of the first English Civil War as the Parliamentarians won a major victory over the Royalists,hypernym,English Civil War,55,"['English Civil War', 'Civil War', 'battle', 'War']"
false asphodel having spikes of white flowers; of mountainous regions of Europe,hypernym,false asphodel,0,['false asphodel']
instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,hypernym,instrumentality,0,"['instrumentality', 'artifacts']"
a riblike supporting or strengthening part of an animal or plant,hypernym,part,38,['part']
domestic activities or life,hypernym,activities,9,['activities']
(statistics) the selection of a suitable sample for study,hypernym,selection,17,['selection']
"a sheet of material (metal, plastic, cardboard, waxed paper, silk, etc.) that has been perforated with a pattern (printing or a design); ink or paint can pass through the perforations to create the printed pattern on the surface below",hypernym,sheet,2,['sheet']
a native or inhabitant of the city of Argos,hypernym,inhabitant,12,['inhabitant']
a flight or run by an aircraft over a target,hypernym,flight,2,['flight']
any of numerous usually rhizomatous hybrid begonias derived from an East Indian plant having rough-textured leaves patterned in silver and bronze and purple and red-brown with inconspicuous flowers,hypernym,begonias,43,"['begonias', 'flowers', 'plant']"
the most enjoyable part of a given experience,hypernym,part,19,"['part', 'experience']"
a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle,hypernym,cleaning implement,2,"['cleaning implement', 'implement']"
United States economist who wrote about conspicuous consumption (1857-1929),hypernym,economist,14,['economist']
severe constipation resulting from an obstruction in the intestines,hypernym,constipation,7,['constipation']
a shallow box in which seedlings are started,hypernym,box,10,['box']
a .45-caliber submachine gun,hypernym,submachine gun,14,"['submachine gun', 'gun']"
a compass that does not depend on magnetism but uses a gyroscope instead,hypernym,compass,2,['compass']
a pudding cooked by steaming,hypernym,pudding,2,['pudding']
a railway that is powered by electricity and that runs on a track that is raised above the street level,hypernym,railway,2,['railway']
type genus of the Leptodactylidae; in some classifications placed in the family Bufonidae,hypernym,genus,5,['genus']
a battle in 1644 in which the Parliamentarians under the earl of Manchester defeated the Royalists under Prince Rupert,hypernym,battle,2,['battle']
a blemish resulting from a break without complete separation of the parts,hypernym,blemish,2,['blemish']
the amount by which the revenue of a business exceeds its cost of operating,hypernym,amount,4,['amount']
United States paleontologist and popularizer of science (1941-2002),hypernym,paleontologist,14,['paleontologist']
sedgelike spring-flowering herb having clustered flowers covered with woolly hairs; Australia,hypernym,herb,27,['herb']
the condition of being deprived of oxygen (as by having breathing stopped),hypernym,condition,4,['condition']
a woman idolater,hypernym,idolater,8,['idolater']
mostly black African weaverbird,hypernym,weaverbird,21,['weaverbird']
the act of increasing the wealth or prestige or power or scope of something,hypernym,act,4,['act']
the bodily property of a protruding belly,hypernym,bodily property,4,"['bodily property', 'property']"
any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior,hypernym,gastropods,35,['gastropods']
a drug (or other chemical agent) that causes abortion,hypernym,drug,2,"['drug', 'agent']"
sports equipment used in playing cricket,hypernym,sports equipment,0,"['sports equipment', 'equipment']"
an academic degree higher than a bachelor's degree but lower than a doctor's degree,hypernym,academic degree,3,"['academic degree', 'degree']"
the ancient quarter of many cities in northern Africa,hypernym,quarter,12,"['quarter', 'cities']"
a genus of Astacidae,hypernym,genus,2,['genus']
bluish-green-and-white North American swallow; nests in tree cavities,hypernym,swallow,38,['swallow']
warm weather following a freeze; snow and ice melt,hypernym,weather,5,['weather']
the military arm of Hamas responsible for suicide bombings and other attacks on Israel,hypernym,Hamas,20,['Hamas']
a unit used in estimating fuel requirements for heating a building,hypernym,unit,2,['unit']
a unit of apothecary weight equal to 20 grains,hypernym,weight,21,"['weight', 'unit']"
eye disease consisting of an opaque white spot on the cornea,hypernym,eye disease,0,"['eye disease', 'disease']"
a contract between two or more persons who agree to pool talent and money and share profits or losses,hypernym,contract,2,['contract']
coarse South American herb grown for its blue-and-white flowers followed by a bladderlike fruit enclosing a dry berry,hypernym,herb,22,['herb']
a communication system for sending continuous radio messages to an airplane pilot who is making a ground-controlled approach to landing,hypernym,communication system,2,"['communication system', 'system']"
a check containing certification that the person who issued the check has sufficient funds on deposit to cover payment,hypernym,check,2,['check']
the strength of a radio wave picked up by a radio telescope,hypernym,strength,4,['strength']
a steep part of a glacier resembling a frozen waterfall,hypernym,glacier,18,['glacier']
(law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings,hypernym,proceeding,8,"['proceeding', 'proceedings']"
a particular aspect of life or activity,hypernym,aspect,13,['aspect']
a constellation in the northern hemisphere between Pegasus and Draco in the Milky Way; contains a black hole,hypernym,constellation,2,['constellation']
the shape of a bell,hypernym,shape,4,['shape']
a disease of plants characterized by the gradual dying of the young shoots starting at the tips and progressing to the larger branches,hypernym,disease,2,['disease']
small harmless hammerhead having a spade-shaped head; abundant in bays and estuaries,hypernym,hammerhead,15,['hammerhead']
any of several hardwood trees yielding very dark-colored wood,hypernym,trees,24,['trees']
pleochroism of a crystal so that it exhibits three different colors when viewed from three different directions,hypernym,pleochroism,0,['pleochroism']
planetarium consisting of an apparatus that illustrates the relative positions and motions of bodies in the solar system by rotation and revolution of balls moved by wheelwork; sometimes incorporated in a clock,hypernym,planetarium,0,['planetarium']
freshwater duck of the northern hemisphere having a broad flat bill,hypernym,duck,11,['duck']
prolific English writer best known for his science-fiction novels; he also wrote on contemporary social problems and wrote popular accounts of history and science (1866-1946),hypernym,writer,17,['writer']
rich brown pigment prepared from the ink of cuttlefishes,hypernym,pigment,11,['pigment']
United States Protestant theologian (1892-1971),hypernym,theologian,25,['theologian']
king of Persia who expanded the Persian Empire and invaded Greece but was defeated at the battle of Marathon (550-486 BC),hypernym,king,0,['king']
an attractive outfit,hypernym,outfit,14,['outfit']
(parliamentary procedure) someone who makes a formal motion,hypernym,someone,26,['someone']
a city in east-central France on the Rhone River; a principal producer of silk and rayon,hypernym,France,23,"['France', 'city']"
roller that has teeth on the rims to pull film or paper through,hypernym,roller,0,['roller']
"a mountain peak in northwestern Wyoming; the highest peak in the Teton Range (13,766 feet high)",hypernym,Teton Range,65,"['Teton Range', 'mountain peak', 'Wyoming', 'Range', 'peak', 'mountain']"
shallow-water shark with sharp jagged teeth found on both sides of Atlantic; sometimes dangerous to swimmers,hypernym,shark,14,['shark']
an antidiuretic and vasoconstrictor used to treat diabetes insipidus,hypernym,antidiuretic,3,"['antidiuretic', 'vasoconstrictor']"
the hills on which the ancient city of Rome was built,hypernym,Rome,39,"['Rome', 'hills', 'city']"
anger produced by some annoying irritation,hypernym,anger,0,['anger']
an incorrect deal,hypernym,deal,13,['deal']
the illusion that what you wish for is actually true,hypernym,illusion,4,['illusion']
the act of grinding to a powder or dust,hypernym,act,4,['act']
(Hinduism) a hereditary social class among Hindus; stratified according to ritual purity,hypernym,social class,24,"['social class', 'class']"
a sport in which people ride across country on ponies,hypernym,sport,2,['sport']
a joyful occasion for special festivities to mark some happy event,hypernym,occasion,9,"['occasion', 'event']"
a device that generates a gas for the purpose of disinfecting or eradicating pests,hypernym,device,2,['device']
the work of a sailor,hypernym,work,4,['work']
copiously branched vine of Brazil having deciduous leaves and white flowers tinged with blue,hypernym,vine,19,['vine']
coarse Eurasian plant cultivated for its thick white pungent root,hypernym,plant,16,['plant']
the commission that is given to a government and its policies through an electoral victory,hypernym,commission,4,['commission']
a deity worshipped by the ancient Semites,hypernym,deity,2,['deity']
French physicist (1902-1984),hypernym,physicist,7,['physicist']
an area of ground used for some particular purpose (such as building or farming),hypernym,area,3,['area']
a rare silvery-white mineral; important ore of cobalt,hypernym,mineral,21,['mineral']
"the basic unit of money in Jordan; equal to 1,000 fils",hypernym,unit,10,['unit']
a reckless pedestrian who crosses a street illegally,hypernym,pedestrian,11,['pedestrian']
(Norse mythology) god of dawn and light; guardian of Asgard,hypernym,god,18,['god']
the act of concealing the identity of something by modifying its appearance,hypernym,concealing,11,"['concealing', 'act']"
a lake in northwestern Russia to the north of St. Petersburg; the largest lake in Europe; drains through the Neva River into the Gulf of Finland,hypernym,Russia,23,"['Russia', 'lake']"
a genus of Eurasian herbs of the family Compositae with prickly foliage and large purplish flowers,hypernym,genus,2,['genus']
drill hole for a charge of an explosive,hypernym,drill hole,0,['drill hole']
a rare form of diabetes resulting from a deficiency of vasopressin (the pituitary hormone that regulates the kidneys); characterized by the chronic excretion of large amounts of pale dilute urine which results in dehydration and extreme thirst,hypernym,diabetes,15,['diabetes']
a holding in the form of land,hypernym,holding,2,['holding']
the decade from 1960 to 1969,hypernym,decade,4,['decade']
a hydrocarbon radical (C4H9),hypernym,radical,14,['radical']
an exercise designed to strengthen the flexor muscles of the leg,hypernym,exercise,3,['exercise']
"standard time in the 5th time zone west of Greenwich, reckoned at the 75th meridian; used in the eastern United States",hypernym,standard time,0,"['standard time', 'time']"
the power to do work that is latent in a head of water,hypernym,power,4,['power']
an irritating or obnoxious person,hypernym,person,27,['person']
type genus of the Trionychidae,hypernym,genus,5,['genus']
a geological fault in which the upper side appears to have been pushed upward by compression,hypernym,geological fault,2,"['geological fault', 'fault']"
a public expenditure (as for unemployment compensation or veteran's benefits) that is not for goods and services,hypernym,expenditure,9,['expenditure']
fern of Florida and West Indies and Central America with rhizome densely clad in grown hairs,hypernym,fern,0,['fern']
battery used to maintain the grid potential in a vacuum tube,hypernym,battery,0,['battery']
a secretary having administrative duties and responsibilities,hypernym,secretary,2,['secretary']
valence characterized by the sharing of electrons in a chemical compound; the number of pairs of electrons an atom can share,hypernym,valence,0,['valence']
tight trousers worn by people from the Indian subcontinent (typically with a kameez or kurta),hypernym,trousers,6,['trousers']
a board with the alphabet on it; used with a planchette to spell out supernatural messages,hypernym,board,2,['board']
vein of the cochlear canal,hypernym,vein,0,['vein']
the evolution of a biological species,hypernym,evolution,4,['evolution']
British author who created Sherlock Holmes (1859-1930),hypernym,author,8,['author']
a timepiece that can be started or stopped for exact timing (as of a race),hypernym,timepiece,2,['timepiece']
a small globe or ball,hypernym,globe,8,"['globe', 'ball']"
(computer science) a list of options available to a computer user,hypernym,list,21,['list']
report of a mission or task,hypernym,report,0,['report']
a monounsaturated fatty acid that has the same structure as oleic acid except that it is a trans fatty acid; the major trans fatty acid in margarine and fried foods,hypernym,monounsaturated fatty acid,2,"['monounsaturated fatty acid', 'trans fatty acid', 'fatty acid', 'acid']"
radioactive waste that left in a nuclear reactor after the nuclear fuel has been consumed,hypernym,radioactive waste,0,['radioactive waste']
an officer who acts as military assistant to a more senior officer,hypernym,officer,3,['officer']
a breed of large powerful hound of European origin having very acute smell and used in tracking,hypernym,hound,26,['hound']
a slow gait of a horse in which two feet are always on the ground,hypernym,gait,7,['gait']
a group of trees and shrubs and herbs mostly with polypetalous flowers; contains 108 families including Rosaceae; Crassulaceae; Myrtaceae; Melastomaceae; Euphorbiaceae; Umbelliferae,hypernym,group,2,['group']
a poem consisting of 3 stanzas and an envoy,hypernym,poem,2,['poem']
an operation to repair a damaged blood vessel or unblock a coronary artery,hypernym,operation,3,['operation']
(law) a pleading made by a plaintiff in reply to the defendant's plea or answer,hypernym,pleading,8,['pleading']
an unidentified (and possibly enemy) aircraft,hypernym,aircraft,37,['aircraft']
United States feminist and suffragist (1793-1880),hypernym,feminist,14,"['feminist', 'suffragist']"
a dealer in seeds,hypernym,dealer,2,['dealer']
a strong declaration of protest,hypernym,declaration,9,['declaration']
a narrow field that has been cleared to check the spread of a prairie fire or forest fire,hypernym,field,9,['field']
a national park on an island in Michigan; includes prehistoric iron mines,hypernym,Michigan,32,"['Michigan', 'national park', 'park']"
a fairy that inhabits water,hypernym,fairy,2,['fairy']
the first decisive battle of the Hundred Years' War; in 1346 the English under Edward III defeated the French under Philip of Valois,hypernym,War,48,"['War', 'battle']"
a 3-dimensional geometric arrangement of the atoms or molecules or ions composing a crystal,hypernym,arrangement,26,['arrangement']
someone who writes plays,hypernym,someone,0,['someone']
a tube that directs air or gas into a flame to concentrate heat,hypernym,tube,2,['tube']
the cultivation of cranberries,hypernym,cultivation,4,['cultivation']
the chemistry of the earth's crust,hypernym,chemistry,4,['chemistry']
an event characteristic of persons forming groups,hypernym,event,3,['event']
a positively charged electrode by which electrons leave an electrical device,hypernym,electrode,21,"['electrode', 'device', 'electrical device']"
a mechanical device consisting of a cylindrical tube around which the hair is wound to curl it,hypernym,mechanical device,2,"['mechanical device', 'device']"
an iron with a short shaft and pitched face; for hitting short high shots,hypernym,iron,3,['iron']
small genus of South American feather palms,hypernym,genus,6,['genus']
small plant having pleasantly acid-tasting arrow-shaped leaves; common in dry places,hypernym,plant,6,['plant']
the short adductor muscle of the thigh,hypernym,adductor,10,"['adductor', 'adductor muscle', 'thigh', 'muscle']"
a member of the Caddo people of northeastern Texas,hypernym,Caddo,16,['Caddo']
(computer science) a device that forwards data packets between computer networks,hypernym,device,21,['device']
in former classifications considered a suborder of Rodentia coextensive with the order Lagomorpha: gnawing animals,hypernym,animals,107,['animals']
combatant who tries to throw opponent to the ground,hypernym,combatant,0,['combatant']
a chemical agent used to kill mites,hypernym,chemical,2,['chemical']
a major road for any form of motor transport,hypernym,road,8,['road']
the rite of staying awake for devotional purposes (especially on the eve of a religious festival),hypernym,rite,4,['rite']
an atmosphere in which visibility is reduced because of a cloud of some substance,hypernym,atmosphere,3,['atmosphere']
an island to the northwest of Wales,hypernym,Wales,30,"['Wales', 'island']"
the first stage of mitosis,hypernym,mitosis,19,"['mitosis', 'stage']"
a man hairdresser,hypernym,hairdresser,6,['hairdresser']
a small opening covered with membrane (especially one in the bone between the middle and inner ear),hypernym,opening,8,"['opening', 'ear']"
obscene terms for penis,hypernym,penis,18,['penis']
United States writer whose novels describe the lives of African-Americans (born in 1931),hypernym,writer,14,['writer']
the erosion of beaches,hypernym,erosion,4,['erosion']
protective covering consisting of a wooden frame with a glass top in which small plants are protected from the cold,hypernym,protective covering,0,"['protective covering', 'covering']"
a mild yellow English cheese with a crumbly texture,hypernym,cheese,22,['cheese']
the outer reddish part of the lenticular nucleus,hypernym,lenticular nucleus,30,"['lenticular nucleus', 'part']"
the practice of eating fungi (especially mushrooms collected in the wild),hypernym,eating,16,['eating']
the paleontology of microfossils,hypernym,paleontology,4,['paleontology']
the milk of a goat,hypernym,milk,4,['milk']
the world of commercial activity where goods and services are bought and sold,hypernym,activity,24,['activity']
the branch of medicine that deals with the diagnosis and treatment of diseases of the chest,hypernym,medicine,14,['medicine']
a simple style of folk music heard mostly in the southern United States; usually played on stringed instruments,hypernym,folk,18,"['folk', 'folk music', 'style', 'music']"
the local environment,hypernym,environment,10,['environment']
a fallacy in logical argumentation,hypernym,fallacy,2,['fallacy']
an Anatolian language,hypernym,Anatolian,3,"['Anatolian', 'Anatolian language', 'language']"
book binding in which the spine and part of the sides are bound in one material and the rest in another,hypernym,book binding,0,"['book binding', 'binding', 'book']"
a wooden support that holds the strings up,hypernym,support,9,['support']
the approach to a landing field by an airplane,hypernym,approach,4,"['approach', 'landing']"
normal or customary activity of a person in a particular social setting,hypernym,activity,20,['activity']
a complex molecule used medically to chelate metal ions in cases of lead or heavy metal poisoning,hypernym,molecule,10,['molecule']
the property of retaining possessions that have been acquired,hypernym,property,4,['property']
an abnormal and usually permanent contraction of a muscle,hypernym,contraction,34,['contraction']
small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions,hypernym,sandpiper,13,['sandpiper']
French writer who collected Aesop's fables and published them (1621-1695),hypernym,writer,7,['writer']
a strong cotton and linen fabric with a slight nap,hypernym,fabric,26,['fabric']
a woman forced into prostitution for Japanese servicemen during World War II,hypernym,woman,2,['woman']
Irish chemist who established that air has weight and whose definitions of chemical elements and chemical reactions helped to dissociate chemistry from alchemy (1627-1691),hypernym,chemist,6,['chemist']
formal accusation of a crime,hypernym,accusation,7,['accusation']
Spaniard and Roman Catholic theologian and founder of the Society of Jesus; a leading opponent of the Reformation (1491-1556),hypernym,theologian,28,['theologian']
a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech,hypernym,expression,13,"['expression', 'communication']"
a town in north central Wisconsin,hypernym,Wisconsin,24,"['Wisconsin', 'town']"
the proprietor of a restaurant,hypernym,proprietor,4,['proprietor']
seed of any oil palm,hypernym,oil palm,12,"['oil palm', 'seed', 'palm']"
a metal casting containing the cylinders and cooling ducts of an engine,hypernym,casting,8,"['casting', 'engine']"
the echo of an echo,hypernym,echo,4,['echo']
a city in southeastern Germany; site of Allied trials of Nazi war criminals (1945-46),hypernym,Germany,23,"['Germany', 'city']"
the downward slope of a hill,hypernym,slope,13,['slope']
an image (usually a negative image) that persists after stimulation has ceased,hypernym,image,3,['image']
"(Yiddish) an attractive, unconventional woman",hypernym,woman,40,['woman']
a stiff white collar with no opening in the front; a distinctive symbol of the clergy,hypernym,collar,14,"['collar', 'opening']"
the space between galaxies,hypernym,space,4,['space']
a genus of shrubs and trees of the family Rosaceae that is widely distributed in temperate regions,hypernym,genus,2,['genus']
a person with an unusual or odd personality,hypernym,person,2,['person']
a newsworthy event,hypernym,event,13,['event']
a writer who reports and analyzes events of the day,hypernym,writer,2,['writer']
an unmarried aunt,hypernym,aunt,13,['aunt']
a Muslim or Hindu mendicant monk who is regarded as a holy man,hypernym,Muslim,2,"['Muslim', 'holy man']"
a fungus with a broadly convex brown cap and pores that extend part way down the stalk,hypernym,fungus,2,['fungus']
once thought to be one of four elements composing the universe (Empedocles),hypernym,elements,31,['elements']
the successful ending of the American Revolution,hypernym,ending,15,['ending']
type genus of the Phylloxeridae: plant lice,hypernym,genus,5,['genus']
iron with a lofted face for hitting high shots to the green,hypernym,iron,0,['iron']
any of various plants of the genus Cacalia having leaves resembling those of plantain,hypernym,plants,15,['plants']
projecting horizontal beam fixed at one end only,hypernym,beam,22,['beam']
a quality of a given color that differs slightly from another color,hypernym,color,21,['color']
a political theory advocating state ownership of industry,hypernym,political theory,2,['political theory']
an instrument that measures the height above ground; used in navigation,hypernym,instrument,3,['instrument']
(mathematics) a progression in which a constant is added to each term in order to obtain the next term,hypernym,progression,16,"['progression', 'order']"
furniture pieces made to fit close together,hypernym,furniture,0,['furniture']
an attention-getting opening presented at the start of a television show,hypernym,opening,21,['opening']
a person who transfers his ownership interest in something by signing a check or negotiable security,hypernym,person,2,['person']
tall evergreen timber tree of western North America having resinous wood and short needles,hypernym,tree,22,['tree']
a waste pipe that carries away sewage or surface water,hypernym,waste pipe,2,"['waste pipe', 'pipe']"
the act of branching out or dividing into branches,hypernym,act,4,['act']
the act of making a print by the silkscreen method,hypernym,act,4,['act']
giant sequoias; sometimes included in the genus Sequoia; until recently placed in the Taxodiaceae,hypernym,genus,42,['genus']
black-seeded bean of South America; usually dried,hypernym,bean,13,['bean']
a state of mind that is discussed as if it were a place,hypernym,state of mind,2,"['state of mind', 'state']"
a workman who pastes,hypernym,workman,2,['workman']
luggage that is light enough to be carried by hand,hypernym,luggage,0,['luggage']
dry dock that can be submerged under a vessel and then raised,hypernym,dry dock,0,"['dry dock', 'dock']"
the cultivation of soil for raising crops,hypernym,cultivation,4,['cultivation']
street names for ketamine,hypernym,ketamine,17,['ketamine']
a charming person who is irresponsible in emotional relationships,hypernym,person,11,['person']
a ceremony in which something (as a building) is dedicated to some goal or purpose,hypernym,ceremony,2,['ceremony']
a free-reed instrument in which air is drawn in through reeds by suction bellows,hypernym,free-reed instrument,2,"['free-reed instrument', 'instrument']"
a reading room (in a library or club) where newspapers and other periodicals can be read,hypernym,reading room,2,"['reading room', 'room', 'club', 'library']"
German statesman who served as chancellor of Germany (born in 1918),hypernym,statesman,7,['statesman']
the council in 1414-1418 that succeeded in ending the Great Schism in the Roman Catholic Church,hypernym,council,4,['council']
a meter for measuring the amount of gas flowing through a particular pipe,hypernym,meter,2,['meter']
formerly the restricted quarter of many European cities in which Jews were required to live,hypernym,quarter,24,"['quarter', 'cities']"
the arithmetic operation of summing; calculating the sum of two or more numbers,hypernym,arithmetic operation,4,"['arithmetic operation', 'operation']"
a pale green variety of chrysolite; used as a gemstone,hypernym,chrysolite,24,"['chrysolite', 'gemstone']"
a round arch that widens before rounding off,hypernym,round arch,2,"['round arch', 'arch']"
the decade from 1780 to 1789,hypernym,decade,4,['decade']
a high-crowned black cap (usually made of felt or sheepskin) worn by men in Turkey and Iran and the Caucasus,hypernym,cap,21,['cap']
a long archipelago of more than 500 islands in Micronesia to the east of the Philippines,hypernym,Micronesia,47,"['Micronesia', 'archipelago']"
a smoker who uses a pipe,hypernym,smoker,2,['smoker']
the capital of South Korea and the largest city of Asia; located in northwestern South Korea,hypernym,South Korea,15,"['South Korea', 'Asia', 'Korea', 'capital', 'city']"
a Scandinavian language that is the official language of Iceland,hypernym,Scandinavian,2,"['Scandinavian', 'Scandinavian language', 'language']"
handsome hardy North American grass with foliage turning pale bronze in autumn,hypernym,grass,30,['grass']
an open automobile having a front seat and a rumble seat,hypernym,automobile,8,['automobile']
an antibiotic produced by the actinomycete Streptomyces griseus and used to treat tuberculosis,hypernym,antibiotic,3,['antibiotic']
a basketball player who is dribbling the ball to advance it,hypernym,basketball player,2,['basketball player']
"a form of torture in which the hands are tied behind a person's back and they are lifted off the ground by a rope tied to their wrists, then allowed to drop until their fall is checked with a jerk by the rope",hypernym,torture,10,['torture']
tree of northern India and China having purple blossoms and small inedible yellow fruits; naturalized in the southern United States as a shade tree,hypernym,tree,0,['tree']
a corner of a page turned down to mark your place,hypernym,page,14,['page']
acting in a manner that is gentle and mild and even-tempered,hypernym,manner,12,['manner']
a street corner that you cannot see around as you are driving,hypernym,street corner,2,"['street corner', 'corner']"
influential German idealist philosopher (1724-1804),hypernym,philosopher,28,['philosopher']
edible reproductive body of a seed plant especially one having sweet flesh,hypernym,plant,35,['plant']
a position of leadership (especially in the phrase `take the lead'),hypernym,leadership,14,['leadership']
thoroughbred that won the triple crown in 1948,hypernym,thoroughbred,0,['thoroughbred']
the third New Testament epistle traditionally attributed to Saint John the Apostle,hypernym,New Testament,10,"['New Testament', 'epistle', 'Testament']"
a residential area of similar dwellings built by property developers and usually under a single management,hypernym,residential area,2,['residential area']
any of various ornamental flowering plants of the genus Malcolmia,hypernym,flowering plants,26,"['flowering plants', 'plants']"
a Tibetan or Mongolian priest of Lamaism,hypernym,priest,23,['priest']
an oral antifungal drug (trade name Lamisil) used to treat cases of fungal nail disease,hypernym,antifungal,8,['antifungal']
